"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Southeast Asia,245.909,248.004,263.685,270.473,307.009,262.033,277.438,299.945,312.576,332.087,378.115,424.432,482.786,541.658,619.459,721.379,802.784,761.044,516.507,606.727,647.222,625.232,698.216,786.065,888.978,991.143,1186.731,1416.45,1649.03,1630.422,2017.623,2345.866,2491.262,2576.677,2598.194,2524.104,2645.432,2854.26,3058.355,3238.766,3081.99,3329.543,3596.62,3885.447,4175.982,4480.837,4802.942
Sub-Saharan Africa (Region) ,334.444,348.705,349.023,323.044,260.558,237.04,271.676,299.047,318.403,331.894,424.604,430.29,427.956,425.649,415.796,510.734,571.233,595.562,597.804,441.513,447.697,430.445,465.728,581.958,712.733,842.027,973.445,1129.436,1282.183,1220.872,1446.722,1648.92,1713.566,1799.795,1883.003,1694.247,1581.759,1671.134,1780.369,1801.26,1707.874,1930.965,2104.352,2291.558,2487.035,2706.718,2973.914
Western Europe,3846.268,3434.073,3305.938,3215.175,3089.868,3203.823,4372.945,5410.016,6044.024,6151.303,7633.07,8119.084,8829.221,8022.141,8510.452,9758.626,9941.355,9348.881,9642.747,9652.679,8970.526,9033.21,9844.627,11949.404,13747.895,14310.625,15229.23,17473.725,18752.563,16830.76,16776.488,18204.97,17212.099,17914.523,18505.633,16299.363,16358.303,17087.848,18402.122,18012.163,17465.69,19618.245,21119.494,22134.071,23148.358,24181.816,25214.764
Western Hemisphere (Region),4010.651,4462.911,4440.396,4689.71,5139.084,5504.239,5754.891,6134.029,6697.649,7276.477,7751.361,8053.004,8519.038,9018.255,9669.548,10183.382,10807.467,11535.329,12020.858,12402.447,13282.148,13558.163,13681.967,14381.617,15567.118,17023.648,18423.578,19831.107,20840.964,20045.029,21872.594,23431.405,24153.108,24853.677,25453.271,25151.313,25397.72,26716.841,27670.402,28420.657,26969.283,30046.777,32447.599,34017.427,35507.119,36998.837,38513.618
ASEAN-5,231.915,232.519,246.687,250.416,284.515,235.356,253.181,273.265,281.621,295.54,332.686,370.807,421.231,471.433,535.402,621.308,693.598,648.211,416.679,503.984,531.015,515.884,585.687,664.867,746.056,830.864,1000.237,1190.291,1397.077,1375.946,1706.405,1971.232,2092.723,2161.509,2171.664,2106.479,2217.592,2396.672,2557.836,2734.227,2602.96,2821.32,3069.913,3330.793,3591.852,3866.804,4157.826
Advanced economies,8479.586,8612.245,8551.852,8898.66,9308.05,9799.045,11971.017,13920.666,15727.062,16406.486,18412.655,19664.862,21155.503,21314.079,22875.157,25329.221,25504.999,25009.322,25098.698,26429.367,26884.889,26609.179,27759.366,31137.598,34539.731,36338.696,38216.443,41746.978,44080.628,41595.114,43445.076,46652.375,46490.054,46898.344,47978.361,45395.572,46613.594,48611.898,51452.674,51955.575,50668.216,56086.679,60273.873,63292.876,66068.013,68842.554,71613.136
Emerging and Developing Asia,765.423,758.537,774.527,818.606,859.14,835.074,858.567,939.685,1048.926,1117.571,1121.761,1130,1279.77,1447.968,1511.401,1808.33,2049.229,2128.605,1970.633,2164.602,2324.842,2453.597,2688.473,3066.058,3558.121,4111.709,4875.921,6181.434,7437.118,8081.846,9742.649,11638.116,12833.515,14044.967,15171.763,15781.806,16223.775,17845.289,19675.283,20553.645,20758.965,23288.324,25485.811,27601.395,29802.862,32112.087,34515.007
Emerging and Developing Europe,256.72,267.69,272.362,270.481,260.601,269.823,285.839,305.851,343.579,360.173,1415.88,1212.999,499.67,672.195,738.29,887.306,1011.956,1072.025,956.613,826.414,913.321,934.434,1060.545,1308.872,1689.237,2095.957,2500.037,3202.75,3934.724,3083.449,3588.138,4193.964,4323.155,4573.266,4306.27,3343.594,3284.519,3705.202,3864.195,3933.654,3663.358,4095.052,4360.398,4661.275,4981.43,5329.142,5698.187
Emerging market and developing economies,2765.758,2885.666,2725.339,2685.302,2693.817,2717.906,2796.203,3087.353,3384.595,3696.007,5236.573,4808.543,4156.183,4709.091,5094.248,5854.219,6545.615,6955.446,6709.289,6500.862,7131.207,7143.532,7117.448,8024.171,9545.624,11415.344,13503.701,16645.662,19959.667,19068.623,22919.854,27002.295,28548.136,30309.19,31259.517,29558.55,29540.159,32211.263,34430.774,35435.216,34303.433,38848.435,42130.137,45289.247,48605.957,52094.663,55777.553
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6095.022,6721.925,6109.663,6453.789,7616.922,7733.09,6942.215,7106.925,7117.666,6489.035,6584.422,7182.05,8843.769,10137.152,10511.201,11166.355,12865.281,14144.494,12915.85,12645.183,13633.959,12643.759,13192.377,13510.156,11672.868,11967.505,12671.894,13706.763,13409.167,13000.592,14518.469,15589.162,16364.531,17102.043,17839.214,18558.077
European Union,3209.889,2834.583,2747.61,2686.96,2586.418,2661.872,3656.683,4482.206,4946.901,5036.799,6207.561,6619.927,7312.962,6679.708,7079.955,8282.036,8417.531,7728.441,7964.234,7923.712,7266.687,7382.018,8062.296,9911.663,11395.363,11896.89,12696.225,14713.137,16272.551,14736.77,14558.575,15752.679,14638.793,15294.584,15647.815,13547.917,13885.786,14754.334,15981.295,15682.496,15263.841,17078.376,18353.725,19340.802,20270.731,21215.224,22141.371
Latin America and the Caribbean,862.855,932.684,765.193,696.545,725.543,778.766,774.282,821.761,925.666,1039.385,1161.544,1250.079,1369.707,1543.724,1762.694,1895.044,2058.404,2254.582,2269.943,2035.014,2224.865,2167.601,1920.172,1953.734,2243.147,2727.029,3201.346,3798.437,4424.611,4094.084,5107.892,5938.001,5969.231,6061.407,5994.399,5285.405,5070.287,5484.504,5316.504,5201.565,4328.358,4984.638,5353.47,5663.696,6002.898,6332.049,6667.291
Major advanced economies (G7),6902.247,7116.652,7085.18,7477.089,7869.675,8341.054,10098.407,11607.824,13055.819,13552.803,14986.528,16055.849,17240.473,17585.774,18796.654,20497.411,20460.615,20194.349,20463.882,21571.644,22083.826,21825.23,22503.525,24843.49,27285.2,28482.228,29709.567,31913.934,33450.788,31861.157,33092.133,35192.263,35360.723,35374.063,36225.372,34773.854,35746.727,36964.115,39008.707,39706.099,38645.253,42457.921,45781.398,47987.355,49969.053,51952.433,53932.22
Middle East and Central Asia,555.411,584.579,568.983,583.109,595.966,602.751,613.239,732.974,757.572,863.837,1117.459,790.407,585.016,627.302,674.662,762.289,865.997,917.691,927.968,1046.777,1236.177,1175.728,1003.281,1137.838,1372.329,1677.736,2003.304,2398.563,2952.383,2649.333,3107.348,3658.263,3766.238,3892.021,3973.639,3526.661,3453.734,3562.562,3838.219,3989.89,3890.824,4598.192,4877.144,5125.661,5390.256,5677.775,5991.25
Other advanced economies,774.168,789.571,784.101,782.446,820.508,818.261,997.985,1228.488,1448.061,1575.114,1814.477,1927.44,2056.332,2029.731,2279.107,2686.649,2865.37,2776.768,2505.932,2684.707,2772.734,2689.663,2925.714,3370.862,3852.729,4248.806,4603.045,5265.072,5565.275,5117.884,5892.331,6733.668,6788.817,7019.698,7152.195,6583.035,6717.094,7220.775,7602.769,7463.342,7379.332,8402.036,8872.979,9365.788,9850.604,10324.987,10812.912
Sub-Saharan Africa,325.349,342.175,344.274,316.559,252.566,231.493,264.276,287.082,308.852,315.041,419.93,425.058,422.021,417.901,407.2,501.25,560.03,582.543,584.132,428.054,432.003,412.172,444.977,557.671,682.79,802.913,923.093,1064.478,1210.831,1159.91,1373.827,1573.95,1655.997,1737.529,1813.445,1621.084,1507.844,1613.705,1736.573,1756.461,1661.928,1882.229,2053.315,2237.221,2428.51,2643.611,2905.818
World,11245.344,11497.911,11277.191,11583.961,12001.866,12516.951,14767.22,17008.019,19111.657,20102.494,23649.228,24473.405,25311.686,26023.169,27969.404,31183.44,32050.614,31964.768,31807.986,32930.229,34016.096,33752.711,34876.814,39161.77,44085.354,47754.04,51720.144,58392.64,64040.295,60663.736,66364.93,73654.67,75038.19,77207.534,79237.879,74954.122,76153.753,80823.161,85883.448,87390.791,84971.65,94935.114,102404.01,108582.123,114673.969,120937.217,127390.689
